epoch,loss
0,0.008476059424725029
1,0.008226832185665764
2,0.007960736130630888
3,0.007117991347498773
4,0.007085554000460998
5,0.007069297189696527
6,0.007048374252656339
7,0.007047313762864984
8,0.0070387265288703385
9,0.007035527405898921
10,0.007035506354785286
11,0.007028194243050079
12,0.007026884857947898
13,0.007026322460511901
14,0.007025290460161653
15,0.007023720903955461
16,0.007020921140035533
17,0.007016982852850693
18,0.007016327991344801
19,0.0070133101105248445
20,0.0070117388235520686
21,0.007010479373728395
22,0.007008899229422664
23,0.007009291534112735
24,0.007008737330122893
25,0.007009159847416065
